hidden_dim,num_layers,dropout,learning_rate,weight_decay,batch_size,max_epochs,patience,best_epoch,train_rmse,train_r2,train_pearson,val_rmse,val_r2,val_pearson,test_rmse,test_r2,test_pearson,trial,elapsed_seconds
256,2,0.15,0.0005,0.0001,32,300,50,37,0.5630005357902376,0.694223165512085,0.866544755723907,0.6421253035004211,0.4810454249382019,0.7124482716987313,0.6638490894944915,0.30446910858154297,0.6557545281489887,177,55.65
64,2,0.05,0.0005,0.0001,32,300,50,42,0.46689711575809095,0.7897047996520996,0.8895432636770766,0.6452171144348808,0.4760358929634094,0.7216726199945958,0.7006059663417804,0.22531461715698242,0.6487526042250226,6,42.38
64,4,0.05,0.0005,1e-05,32,300,50,49,0.4582453683045729,0.7974262833595276,0.8969858986080645,0.6454949081908551,0.47558462619781494,0.7155561763247226,0.7453775213577332,0.12313997745513916,0.6042933955892581,32,43.37
64,4,0.2,0.001,0.0001,32,300,50,80,0.5051475140907359,0.7538366317749023,0.8719174490233369,0.6471094526663659,0.472957968711853,0.7103888112018957,0.6414607806611793,0.35059159994125366,0.6625737544764906,54,87.07
256,6,0.05,0.0001,0.0001,32,300,50,36,0.44422642961828385,0.8096312284469604,0.910098308112003,0.6472984558877336,0.47265005111694336,0.721270463175814,0.6784319187463623,0.27357590198516846,0.6684470744341122,219,124.17
256,4,0.05,0.001,0.0001,32,300,50,47,0.3958209081841247,0.8488582372665405,0.9467564900287927,0.6473918895238152,0.472497820854187,0.7505349026127934,0.8837137263945835,-0.23253965377807617,0.5846931694650667,198,101.35
128,2,0.05,0.001,1e-06,32,300,50,24,0.48364912526428094,0.7743435502052307,0.8817329665372844,0.648117928866417,0.4713139533996582,0.7093620970237349,0.7450443097193142,0.12392377853393555,0.6011605852755901,88,23.3
64,2,0.15,0.001,1e-05,32,300,50,48,0.5358326667595609,0.7230219841003418,0.8644354798868978,0.6494540324136523,0.4691319465637207,0.7058516550407405,0.6543402130805269,0.32425177097320557,0.6582156813764453,17,30.82
64,2,0.05,0.001,1e-05,32,300,50,44,0.41723189957055845,0.8320647478103638,0.9153907053658643,0.6501814130567645,0.46794211864471436,0.7183280562313993,0.7307318555293479,0.15725970268249512,0.6310910531550538,8,42.54
128,2,0.05,0.0001,1e-05,32,300,50,62,0.5307987484477366,0.728201687335968,0.858172288953646,0.6505030171194632,0.46741563081741333,0.7187626267086495,0.6522576280954182,0.328546404838562,0.6785740328179934,83,35.1
